Detrend of .\pbo\CHNR East 
East WRMS:    1.91 mm     NRMS:  2.43     #:  2451 of  2452 data
East T =  2014.4169 Postion              3.54 +-   0.27 mm   
East Rate                               40.18 +-   0.04 mm/yr
East Period   1.00 Cos                   0.85 +-   0.06 mm   
East Period   1.00 Sin                  -0.25 +-   0.06 mm   
East Period   1.00 amplitude             0.88 +-   0.06 mm   
East Period   1.00 phase               -0.204 +-  0.010 year   
East Period   0.50 Cos                   0.52 +-   0.06 mm   
East Period   0.50 Sin                  -0.80 +-   0.06 mm   
East Period   0.50 amplitude             0.96 +-   0.06 mm   
East Period   0.50 phase               -0.092 +-  0.009 year   
East Br EQ  2008.3607                   -0.69 +-   0.13 mm
East Br EQ  2011.1890                    0.75 +-   0.26 mm
East Br EQ  2012.2760                   -1.00 +-  51.58 mm
East Br EQ  2015.3123                   -1.00 +-  51.58 mm
East Br EQ  2015.3589                   -1.00 +-  51.58 mm
East Br EQ  2016.0055                   -1.00 +-  51.58 mm
East Br EQ  2016.2814                   -1.00 +-  51.58 mm
East Br EQ  2017.0055                   -1.00 +-  51.58 mm
East Break  2018.1096                  -1.00 +-  51.58 mm
 
