Detrend of .\pbo\CHNR North 
North WRMS:    1.56 mm     NRMS:  2.10     #:  2452 of  2452 data
North T =  2014.4202 Postion              9.50 +-   0.22 mm   
North Rate                               33.81 +-   0.03 mm/yr
North Period   1.00 Cos                  -0.23 +-   0.05 mm   
North Period   1.00 Sin                   0.92 +-   0.05 mm   
North Period   1.00 amplitude             0.95 +-   0.05 mm   
North Period   1.00 phase               -0.039 +-  0.008 year   
North Period   0.50 Cos                   0.12 +-   0.05 mm   
North Period   0.50 Sin                  -0.27 +-   0.05 mm   
North Period   0.50 amplitude             0.30 +-   0.05 mm   
North Period   0.50 phase               -0.064 +-  0.025 year   
North Br EQ  2008.3607                   -0.59 +-   0.11 mm
North Br EQ  2011.1890                   -1.36 +-   0.21 mm
North Br EQ  2012.2760                   -2.50 +-  42.37 mm
North Br EQ  2015.3123                   -2.50 +-  42.37 mm
North Br EQ  2015.3589                   -2.50 +-  42.37 mm
North Br EQ  2016.0055                   -2.50 +-  42.37 mm
North Br EQ  2016.2814                   -2.50 +-  42.37 mm
North Br EQ  2017.0055                   -2.50 +-  42.37 mm
North Break  2018.1096                  -2.50 +-  42.37 mm
 
